species,GDD,height,anchorage_force
Mustard,113,2,0.316
Setfa,213,2.1,0.316
Cheal,340,2.6,0.316
Carrot,164,2,0.316
Setfa,213,2,0.315
Cheal,263,1.7,0.315
Mustard,113,1,0.315
Cheal,213,2.8,0.315
Amaranth,213,1.5,0.314
Digsa,213,1.1,0.314
Carrot,213,2.4,0.314
Amaranth,213,1.6,0.313
Setfa,213,2,0.313
Carrot,213,2.6,0.313
Carrot,164,1.8,0.313
Carrot,213,2.4,0.312
Cheal,263,2.4,0.312
Digsa,263,1.7,0.312
Amaranth,263,2.3,0.312
Setfa,213,1.5,0.312
Cheal,263,4.1,0.312
Amaranth,164,1.4,0.312
Carrot,213,2.4,0.311
Digsa,263,1.1,0.311
Amaranth,263,2.3,0.311
Setfa,164,1.9,0.31
Digsa,340,3,0.31
Setfa,164,1.5,0.31
Amaranth,164,2.5,0.309
Cheal,263,2.4,0.309
Setfa,263,2.2,0.309
Setfa,213,2.5,0.309
Amaranth,263,2.2,0.309
Cheal,263,3.2,0.309
Amaranth,213,3.1,0.308
Carrot,263,3.5,0.308
Amaranth,213,2.9,0.307
Digsa,213,1.3,0.307
Setfa,164,2,0.307
Digsa,213,1.6,0.306
Setfa,164,1.4,0.306
Carrot,164,2.4,0.305
Cheal,164,1.7,0.305
Setfa,164,2,0.305
Cheal,263,2.4,0.305
Setfa,164,1.2,0.305
Amaranth,213,1.8,0.304
Digsa,213,2.2,0.304
Cheal,213,2.7,0.304
Cheal,164,1.5,0.304
Digsa,164,1.5,0.303
Digsa,263,2.6,0.303
Cheal,263,3.2,0.303
Digsa,340,2.3,0.302
Amaranth,164,1.2,0.302
Cheal,263,3,0.302
Digsa,263,1.3,0.302
Amaranth,164,2.1,0.301
Setfa,213,1.7,0.301
Digsa,263,1.4,0.301
Setfa,164,1.2,0.301
Digsa,263,1.2,0.3
Cheal,213,2.5,0.299
Amaranth,164,2.2,0.299
Setfa,164,1.6,0.299
Cheal,263,3.5,0.299
Carrot,164,1.5,0.299
Digsa,213,1.5,0.298
Cheal,263,3,0.298
Carrot,164,2.3,0.298
Carrot,164,2.4,0.296
Setfa,164,1.6,0.296
Cheal,213,1.7,0.296
Setfa,213,1.5,0.296
Amaranth,213,1.7,0.296
Digsa,393,2.9,0.295
Mustard,113,0.9,0.295
Amaranth,213,1.6,0.295
Amaranth,164,2.1,0.294
Digsa,213,1.4,0.294
Digsa,263,1.6,0.294
Amaranth,263,2.6,0.294
Cheal,263,3.2,0.293
Amaranth,213,2.3,0.291
Cheal,213,2.4,0.29
Cheal,263,2.4,0.29
Cheal,340,3.5,0.29
Amaranth,213,2.4,0.29
Carrot,164,1.9,0.29
Digsa,263,2.1,0.29
Amaranth,263,3.5,0.29
Amaranth,164,1.6,0.289
Setfa,164,2,0.287
Setfa,164,2.1,0.286
Setfa,213,2.2,0.286
Digsa,213,1.7,0.286
Cheal,213,2,0.286
Digsa,263,1.9,0.286
Cheal,263,2.8,0.286
Setfa,263,2,0.286
Cheal,263,3.2,0.286
Digsa,213,1.5,0.286
Cheal,263,2.5,0.285
Digsa,213,1.2,0.284
Amaranth,164,1.5,0.284
Digsa,213,1.7,0.284
Cheal,164,2.5,0.283
Digsa,263,1.6,0.283
Digsa,213,1.1,0.283
Cheal,263,2.3,0.281
Cheal,263,1.6,0.281
Cheal,164,1.5,0.281
Cheal,263,2.3,0.28
Amaranth,213,2,0.28
Digsa,164,1.2,0.279
Digsa,263,1.6,0.279
Setfa,213,1.6,0.279
Amaranth,213,2.8,0.279
Amaranth,263,2,0.279
Digsa,164,1,0.278
Setfa,213,2.1,0.278
Cheal,213,2.7,0.278
Digsa,263,1.3,0.278
Amaranth,113,1.3,0.277
Carrot,164,2.5,0.277
Amaranth,164,2,0.277
Amaranth,164,1.7,0.276
Mustard,113,1.4,0.276
Setfa,263,2.9,0.276
Cheal,263,2.3,0.275
Cheal,340,2.1,0.275
Amaranth,164,1.2,0.275
Amaranth,164,1.8,0.274
Amaranth,213,2.1,0.274
Cheal,263,1.9,0.274
Digsa,263,1.9,0.274
Digsa,340,2.6,0.274
Cheal,263,3,0.274
Cheal,263,3.5,0.274
Amaranth,263,2.5,0.274
Cheal,340,2.3,0.273
Cheal,213,2,0.273
Amaranth,164,1.6,0.273
Cheal,164,2,0.272
Cheal,213,2.3,0.272
Setfa,213,1.5,0.271
Cheal,164,1.8,0.271
Amaranth,164,1.4,0.271
Cheal,263,2.9,0.27
Cheal,263,1.7,0.269
Setfa,340,3,0.269
Setfa,213,1.9,0.269
Digsa,213,1.3,0.269
Cheal,213,1.3,0.268
Cheal,340,2.4,0.268
Amaranth,164,1.1,0.268
Amaranth,164,1.5,0.267
Amaranth,213,2.8,0.266
Cheal,213,2.4,0.266
Digsa,213,1.3,0.266
Cheal,213,2.3,0.265
Digsa,263,1.5,0.265
Cheal,213,2,0.265
Amaranth,263,2.1,0.265
Amaranth,213,1.5,0.264
Digsa,263,1.1,0.263
Digsa,213,1.1,0.263
Amaranth,213,1.9,0.263
Amaranth,213,2.2,0.263
Mustard,113,1.6,0.262
Cheal,213,1.9,0.262
Carrot,263,3.5,0.262
Cheal,340,2.8,0.262
Setfa,263,1.9,0.262
Amaranth,164,1,0.262
Cheal,213,2,0.262
Amaranth,213,1.8,0.261
Cheal,213,2.4,0.261
Amaranth,113,1.4,0.26
Cheal,164,1.3,0.26
Digsa,213,2.1,0.26
Digsa,263,1.4,0.26
Digsa,213,1.2,0.26
Setfa,164,1.1,0.26
Setfa,164,1.9,0.259
Digsa,213,1.1,0.259
Carrot,164,1.6,0.259
Amaranth,164,1.3,0.258
Digsa,164,0.8,0.258
Amaranth,164,1.5,0.258
Cheal,263,3.1,0.258
Cheal,164,1,0.257
Cheal,213,2.3,0.257
Cheal,263,3,0.257
Setfa,164,1,0.257
Cheal,263,2.5,0.256
Digsa,263,2,0.255
Cheal,263,3,0.255
Carrot,164,2,0.254
Digsa,164,0.7,0.254
Setfa,213,1.8,0.254
Amaranth,263,3.1,0.253
Digsa,213,1.4,0.253
Digsa,213,1.4,0.252
Digsa,213,1.2,0.252
Digsa,213,0.9,0.252
Cheal,213,2.7,0.252
Digsa,213,1.3,0.251
Setfa,164,1.1,0.251
Amaranth,213,2.2,0.251
Setfa,164,1.2,0.251
Digsa,263,1,0.251
Cheal,213,2.9,0.25
Amaranth,263,2.5,0.25
Cheal,263,2.5,0.25
Amaranth,113,1.3,0.249
Setfa,164,1.4,0.249
Cheal,213,2.6,0.249
Amaranth,113,1.3,0.249
Cheal,164,1.9,0.249
Carrot,164,2.1,0.248
Cheal,213,2.8,0.245
Digsa,164,1.7,0.244
Amaranth,164,1.2,0.244
Amaranth,213,2,0.243
Digsa,213,0.7,0.243
Cheal,213,2,0.243
Setfa,164,1.4,0.241
Cheal,263,1.5,0.24
Amaranth,113,0.9,0.24
Cheal,213,2.4,0.24
Digsa,213,0.9,0.239
Digsa,263,1,0.239
Setfa,213,1.6,0.239
Amaranth,113,1.43,0.239
Digsa,164,0.9,0.238
Digsa,164,1.4,0.238
Digsa,164,1,0.238
Cheal,263,2.6,0.238
Cheal,164,1.7,0.236
Cheal,213,2.3,0.236
Cheal,213,1.4,0.236
Cheal,340,3,0.236
Digsa,213,1.5,0.236
Amaranth,213,3.4,0.235
Digsa,263,1.6,0.235
Cheal,164,1.7,0.234
Carrot,164,2.1,0.233
Amaranth,213,2.2,0.233
Digsa,213,0.9,0.233
Cheal,164,1.5,0.232
Cheal,213,1.9,0.232
Cheal,164,2.1,0.232
Cheal,164,1,0.232
Cheal,213,2,0.231
Cheal,213,2.3,0.231
Digsa,213,1,0.231
Cheal,164,2.1,0.23
Setfa,164,2.1,0.23
Cheal,213,2.4,0.23
Cheal,213,1.7,0.23
Cheal,164,1.3,0.23
Digsa,263,1.5,0.229
Amaranth,164,1.4,0.229
Setfa,164,2.1,0.228
Digsa,213,1.1,0.228
Digsa,263,2.2,0.228
Digsa,213,1.4,0.228
Amaranth,164,2.6,0.227
Amaranth,213,1.2,0.227
Carrot,164,1.9,0.227
Carrot,263,2.9,0.226
Digsa,213,1,0.226
Amaranth,164,1.6,0.226
Digsa,213,1.4,0.225
Cheal,340,3.3,0.225
Amaranth,113,0.9,0.225
Cheal,213,2.5,0.225
Amaranth,164,1.7,0.224
Cheal,164,1.8,0.224
Amaranth,164,1.6,0.224
Cheal,340,1.3,0.224
Cheal,213,2.5,0.224
Amaranth,164,1.7,0.223
Setfa,213,1.4,0.223
Amaranth,113,1.4,0.222
Cheal,213,1.4,0.222
Cheal,213,3.1,0.222
Amaranth,113,1.7,0.221
Digsa,164,1.2,0.221
Setfa,164,2,0.221
Digsa,263,1,0.221
Cheal,213,2.7,0.221
Amaranth,113,0.7,0.221
Digsa,263,1.5,0.221
Cheal,164,1.5,0.22
Amaranth,213,2.1,0.22
Setfa,164,2.2,0.219
Digsa,263,1.2,0.219
Mustard,113,1.1,0.217
Cheal,213,2.8,0.217
Amaranth,213,1.8,0.217
Digsa,213,1,0.217
Cheal,164,1.6,0.217
Digsa,164,1.2,0.216
Digsa,164,1.2,0.216
Carrot,164,2.1,0.215
Cheal,213,2.5,0.215
Amaranth,213,2.2,0.215
Cheal,164,2.5,0.214
Digsa,263,1.2,0.214
Cheal,213,2.3,0.213
Cheal,164,2.3,0.212
Cheal,164,2,0.212
Cheal,263,2.6,0.212
Cheal,164,1.5,0.212
Carrot,164,2.6,0.211
Digsa,164,0.6,0.211
Digsa,213,1.4,0.211
Cheal,164,2.5,0.211
Setfa,164,1.6,0.21
Mustard,113,1,0.21
Amaranth,113,1,0.21
Digsa,263,1.3,0.21
Amaranth,164,1.7,0.21
Digsa,213,1.2,0.209
Cheal,164,1.8,0.208
Digsa,213,1.2,0.208
Amaranth,393,4.7,0.208
Amaranth,113,1.2,0.208
Amaranth,113,1.9,0.207
Cheal,213,1.6,0.207
Amaranth,113,1,0.207
Mustard,113,0.6,0.207
Amaranth,213,2.5,0.207
Amaranth,113,1.7,0.206
Amaranth,113,1.6,0.206
Amaranth,213,2.2,0.206
Cheal,263,2.2,0.206
Cheal,164,1.5,0.206
Cheal,164,1.7,0.205
Cheal,213,1.5,0.205
Digsa,263,1.2,0.205
Digsa,213,1.1,0.205
Cheal,213,1.5,0.204
Cheal,213,1.6,0.204
Digsa,263,1.6,0.204
Digsa,164,1.1,0.203
Digsa,263,1.1,0.203
Amaranth,113,1.5,0.202
Digsa,164,1.1,0.202
Cheal,164,1.6,0.202
Digsa,164,0.8,0.201
Cheal,263,2.8,0.201
Cheal,164,1,0.201
Cheal,263,2.5,0.201
Digsa,164,1.2,0.201
Amaranth,113,1.5,0.2
Carrot,164,3.2,0.2
Digsa,213,1,0.2
Digsa,213,0.9,0.2
Cheal,213,2.4,0.199
Cheal,263,2.5,0.199
Amaranth,113,1.7,0.198
Amaranth,113,1.4,0.198
Digsa,164,1.5,0.198
Digsa,213,1.1,0.198
Setfa,213,2.4,0.198
Digsa,213,0.9,0.197
Cheal,263,2.7,0.197
Carrot,164,3,0.196
Cheal,263,2.9,0.196
Setfa,164,0.5,0.196
Cheal,213,2.3,0.196
Cheal,213,2.4,0.195
Cheal,263,2.9,0.195
Digsa,213,1.3,0.195
Amaranth,113,1.2,0.194
Digsa,213,0.9,0.194
Mustard,113,1.5,0.193
Amaranth,164,2.4,0.193
Digsa,263,1.2,0.193
Amaranth,164,2.4,0.192
Cheal,164,2.1,0.192
Amaranth,164,2.1,0.192
Cheal,263,3.1,0.192
Cheal,164,2.4,0.191
Cheal,164,1.8,0.191
Amaranth,113,1.2,0.191
Amaranth,113,1,0.191
Amaranth,164,2.1,0.19
Cheal,263,2,0.19
Amaranth,213,2.7,0.189
Amaranth,164,1.5,0.188
Digsa,164,1.3,0.187
Digsa,164,1.4,0.187
Cheal,213,1.5,0.187
Amaranth,164,2.7,0.186
Digsa,340,3.3,0.186
Cheal,213,1.4,0.185
Digsa,164,1.6,0.184
Amaranth,113,2,0.183
Cheal,164,1.6,0.183
Cheal,213,2.6,0.182
Amaranth,113,1.1,0.181
Digsa,164,0.9,0.181
Digsa,213,1.2,0.18
Digsa,164,0.6,0.18
Amaranth,164,2.3,0.179
Cheal,213,1.6,0.179
Digsa,164,0.6,0.179
Setfa,113,1,0.178
Digsa,164,1.1,0.178
Mustard,113,0.9,0.178
Amaranth,113,1.1,0.178
Cheal,164,1.2,0.178
Amaranth,164,1.8,0.177
Digsa,164,0.6,0.177
Amaranth,164,1.9,0.176
Digsa,263,1,0.176
Amaranth,113,0.7,0.175
Amaranth,164,2.6,0.174
Carrot,164,2.1,0.174
Amaranth,164,1.5,0.174
Digsa,164,0.5,0.173
Amaranth,164,1.8,0.173
Cheal,164,1.5,0.172
Amaranth,113,0.9,0.172
Cheal,164,1.4,0.172
Cheal,164,1.2,0.17
Amaranth,113,1.4,0.168
Amaranth,113,1.2,0.168
Cheal,263,2.4,0.168
Digsa,164,1.2,0.168
Digsa,164,0.6,0.167
Digsa,340,2.1,0.166
Digsa,164,0.9,0.166
Cheal,164,1,0.165
Amaranth,164,1.5,0.163
Cheal,213,1,0.162
Cheal,263,1.2,0.162
Cheal,213,2.9,0.162
Cheal,164,2.3,0.161
Amaranth,113,1,0.16
Amaranth,113,1.2,0.158
Amaranth,164,2.5,0.158
Digsa,164,0.4,0.158
Digsa,213,1.5,0.156
Amaranth,113,0.7,0.155
Digsa,164,0.6,0.155
Amaranth,164,2.2,0.154
Digsa,213,1.2,0.154
Cheal,213,2.7,0.153
Amaranth,164,1.2,0.153
Cheal,213,1.2,0.152
Amaranth,113,1.5,0.151
Cheal,164,1.6,0.151
Cheal,164,1.8,0.15
Cheal,164,2.1,0.149
Setfa,164,1.7,0.149
Cheal,164,1.1,0.147
Digsa,213,0.8,0.147
Amaranth,113,1.2,0.145
Amaranth,164,2.4,0.145
Amaranth,164,2.1,0.145
Digsa,164,0.7,0.145
Cheal,164,2,0.143
Digsa,164,1.2,0.141
Cheal,263,2.3,0.138
Digsa,164,0.5,0.138
Cheal,164,1.6,0.138
Cheal,164,1.6,0.137
Amaranth,113,0.8,0.136
Cheal,263,1.8,0.135
Digsa,213,1.2,0.133
Cheal,213,3.1,0.13
Setfa,164,1.2,0.13
Digsa,213,1,0.129
Digsa,164,0.8,0.127
Amaranth,113,1.6,0.125
Amaranth,164,1.3,0.124
Amaranth,113,1,0.121
Digsa,164,0.4,0.121
Cheal,164,2.1,0.119
Setfa,164,0.4,0.119
Amaranth,113,1.3,0.117
Mustard,113,2.3,0.116
Cheal,164,1.6,0.113
Amaranth,113,0.9,0.112
Cheal,164,0.5,0.11
Setfa,164,1.4,0.109
Cheal,164,1.1,0.107
Cheal,164,0.5,0.106
Amaranth,164,1.8,0.099
Digsa,164,0.5,0.097
Cheal,164,1.2,0.094
Cheal,213,1.5,0.091
Digsa,164,0.6,0.09
Mustard,113,1.5,0.087
Setfa,164,0.4,0.083
Amaranth,393,2.6,0.08
Amaranth,113,0.9,0.062
Digsa,164,0.9,0.061
Amaranth,164,2.4,0.028
