species,GDD,height,anchorage_force
Mustard,213,3.2,0.865
Carrot,263,4.1,0.862
Mustard,213,2.5,0.862
Setfa,393,5.5,0.861
Mustard,213,3.6,0.86
Setfa,340,9.7,0.86
Mustard,213,3.8,0.86
Amaranth,340,4,0.859
Carrot,340,6,0.856
Setfa,263,5.2,0.855
Mustard,213,3.4,0.854
Amaranth,263,3.9,0.854
Carrot,340,5.1,0.854
Carrot,393,8.3,0.852
Mustard,263,3.1,0.849
Mustard,213,2.4,0.848
Carrot,340,4.4,0.845
Mustard,213,3.8,0.843
Mustard,213,4.1,0.843
Mustard,213,3.3,0.838
Amaranth,340,6.2,0.834
Mustard,213,3.6,0.827
Carrot,213,3.3,0.826
Setfa,340,5.1,0.825
Mustard,213,4,0.822
Carrot,393,9.1,0.821
Amaranth,340,5.8,0.82
Cheal,393,4.1,0.818
Mustard,213,4.9,0.815
Mustard,164,2.4,0.814
Carrot,263,5.4,0.813
Mustard,213,3.2,0.813
Mustard,213,2.5,0.812
Mustard,213,3,0.808
Amaranth,393,6.6,0.806
Setfa,340,5.2,0.804
Amaranth,393,4.8,0.804
Amaranth,340,3.6,0.803
Amaranth,340,5.7,0.802
Carrot,393,5.1,0.801
Mustard,213,4.6,0.799
Mustard,213,3.4,0.799
Setfa,393,8.2,0.798
Mustard,164,3,0.793
Carrot,263,4.8,0.792
Mustard,213,3.9,0.791
Mustard,213,3.5,0.79
Carrot,393,8.6,0.79
Carrot,340,5,0.789
Mustard,213,2.5,0.789
Mustard,263,4,0.788
Mustard,263,4.5,0.786
Carrot,340,4.1,0.786
Mustard,164,4,0.784
Amaranth,340,5.5,0.784
Amaranth,340,5.1,0.782
Carrot,340,6.6,0.781
Amaranth,340,4.5,0.781
Amaranth,393,5.5,0.781
Carrot,393,6.5,0.778
Mustard,164,2.7,0.778
Setfa,340,4.9,0.776
Setfa,393,5.7,0.776
Mustard,164,2.8,0.774
Carrot,213,2.5,0.774
Mustard,164,2.4,0.773
Amaranth,393,6.6,0.772
Setfa,393,12.4,0.772
Carrot,263,3.2,0.772
Mustard,213,4.5,0.763
Mustard,113,1.4,0.762
Carrot,213,3.1,0.762
Mustard,263,3.2,0.762
Carrot,263,3.5,0.76
Amaranth,340,3.7,0.758
Setfa,393,9.1,0.755
Setfa,340,7.9,0.754
